Comentario,Tiene_Balcon
"Espacioso departamento sin balcón, pero con acceso a una terraza compartida en el edificio.",0
Departamento luminoso con amplio balcón que ofrece vista al parque. Ideal para relajarse.,1
Departamento luminoso con amplio balcón que ofrece vista al parque. Ideal para relajarse.,1
"Moderno departamento con balcón privado, perfecto para disfrutar del aire libre.",1
Departamento luminoso con amplio balcón que ofrece vista al parque. Ideal para relajarse.,1
"Departamento acogedor sin balcón, pero con ventanas grandes que iluminan todo el espacio.",0
"Moderno departamento con balcón privado, perfecto para disfrutar del aire libre.",1
Departamento luminoso con amplio balcón que ofrece vista al parque. Ideal para relajarse.,1
"Moderno departamento con balcón privado, perfecto para disfrutar del aire libre.",1
"Espacioso departamento sin balcón, pero con acceso a una terraza compartida en el edificio.",0
"Moderno departamento con balcón privado, perfecto para disfrutar del aire libre.",1
"Espacioso departamento sin balcón, pero con acceso a una terraza compartida en el edificio.",0
"Moderno departamento con balcón privado, perfecto para disfrutar del aire libre.",1
"Departamento acogedor sin balcón, pero con ventanas grandes que iluminan todo el espacio.",0
"Departamento acogedor sin balcón, pero con ventanas grandes que iluminan todo el espacio.",0
Departamento luminoso con amplio balcón que ofrece vista al parque. Ideal para relajarse.,1
Departamento luminoso con amplio balcón que ofrece vista al parque. Ideal para relajarse.,1
"Moderno departamento con balcón privado, perfecto para disfrutar del aire libre.",1
"Espacioso departamento sin balcón, pero con acceso a una terraza compartida en el edificio.",0
"Moderno departamento con balcón privado, perfecto para disfrutar del aire libre.",1
Departamento luminoso con amplio balcón que ofrece vista al parque. Ideal para relajarse.,1
Departamento luminoso con amplio balcón que ofrece vista al parque. Ideal para relajarse.,1
Departamento luminoso con amplio balcón que ofrece vista al parque. Ideal para relajarse.,1
"Espacioso departamento sin balcón, pero con acceso a una terraza compartida en el edificio.",0
"Moderno departamento con balcón privado, perfecto para disfrutar del aire libre.",1
"Espacioso departamento sin balcón, pero con acceso a una terraza compartida en el edificio.",0
"Espacioso departamento sin balcón, pero con acceso a una terraza compartida en el edificio.",0
"Departamento acogedor sin balcón, pero con ventanas grandes que iluminan todo el espacio.",0
"Espacioso departamento sin balcón, pero con acceso a una terraza compartida en el edificio.",0
"Espacioso departamento sin balcón, pero con acceso a una terraza compartida en el edificio.",0
"Departamento acogedor sin balcón, pero con ventanas grandes que iluminan todo el espacio.",0
"Moderno departamento con balcón privado, perfecto para disfrutar del aire libre.",1
"Moderno departamento con balcón privado, perfecto para disfrutar del aire libre.",1
